frenchTitle;genres;averageRating;numVotes;decade
M. Smith agent secret;Thriller, Adventure, Drama;7.2;1937;1940
Remorques;Romance, Drama, Action;7.2;1711;1940
L'Assassin habite au 21;Comedy, Thriller, Crime, Mystery;7.3;3796;1940
Spitfire;Adventure, Drama, War, Biography;7.0;2231;1940
Ceux qui servent en mer;Drama, War;7.2;6751;1940
La main du diable;Fantasy, Horror;7.3;1908;1940
Un de nos avions n'est pas rentré;Adventure, Drama, Action, War;7.0;2824;1940
Quarante-huit heures;Thriller, War;7.5;4603;1940
Les visiteurs du soir;Fantasy, Romance, Drama;7.2;2558;1940
La guerre dans l'ombre;Romance, Thriller, Drama, War;7.0;1182;1940
Les anges du péché;Drama;7.2;1871;1940
Intrigues en Orient;Thriller, Drama, War, History;6.4;1743;1940
L'oeil du serpent;Thriller, Mystery, Crime, Horror, Drama;7.8;11490;1940
Fires Were Started;Drama, War;6.4;1402;1940
Goupi Mains Rouges;Comedy, Drama, Mystery;7.5;1134;1940
L'auberge fantôme;Fantasy, Drama, Mystery, Horror;6.6;1350;1940
Le colonel Blimp;Romance, Drama, War, History;8.0;17430;1940
L'homme en gris;Romance, Drama, History;6.5;1703;1940
Ceux de chez nous;Romance, Drama, War;6.8;1178;1940
Plongée à l'aube;Drama, Action, War;6.7;1778;1940
A Canterbury Tale;Comedy, Drama, War, Mystery;7.3;6884;1940
Henry V;Action, Drama, History, Biography;7.0;7408;1940
Le médaillon fatal;Thriller, Horror, Drama, Mystery;6.2;1004;1940
Heureux mortels;Comedy, Drama, Family, History;7.3;4338;1940
L'héroïque parade;Drama, War;6.9;2346;1940
Brève rencontre;Romance, Drama;8.0;46551;1940
Les dames du Bois de Boulogne;Romance, Drama;7.1;5021;1940
Au coeur de la nuit;Thriller, Mystery, Horror, Fantasy, Drama;7.5;15028;1940
Les enfants du paradis;Romance, Drama;8.3;21887;1940
Je sais où je vais;Romance, Drama;7.4;10667;1940
Le verdict de l'amour;Romance, Drama;7.1;1659;1940
Le chemin des étoiles;Romance, Drama, War;7.3;1725;1940
Le masque aux yeux verts;Adventure, Drama;6.8;1735;1940
L'étrange aventurière;Comedy, Thriller, Drama, War;6.9;1919;1940
La bataille du rail;Action, Drama, War, History;7.0;1378;1940
La Belle et la Bête;Fantasy, Romance, Drama;7.9;29046;1940
L'esprit s'amuse;Comedy, Fantasy;7.0;8720;1940
César et Cléopâtre;Comedy, Drama, History, Biography;6.2;3297;1940
J'étais un prisonnier;Drama, War;7.0;1237;1940
Les grandes espérances;Mystery, Adventure, Romance, Drama, History;7.8;27476;1940
La couleur qui tue;Comedy, Crime, Mystery;7.4;5978;1940
Une question de vie ou de mort;Fantasy, Romance, Drama, Comedy;8.0;26673;1940
Panique;Drama, Crime;7.9;2745;1940
Les portes de la nuit;Fantasy, Romance, Drama, Mystery;7.1;1369;1940
Le septième voile;Music, Drama;6.7;2538;1940
Antoine et Antoinette;Comedy, Romance, Drama;7.4;1197;1940
Le narcisse noir;Drama;7.7;29648;1940
Jusqu' à ce que mort s'ensuive;Thriller, Mystery, Crime, Romance, Drama, History;6.7;1186;1940
Le gang des tueurs;Thriller, Film-Noir, Drama, Crime;7.3;7323;1940
Le mort se venge;Thriller, Film-Noir, Drama, Crime;6.8;1195;1940
Allemagne année zéro;Drama, War, History;7.8;14531;1940
À cor et à cri;Comedy, Adventure, Crime;6.7;1918;1940
Le sous-marin blessé;Thriller, Adventure, Drama, War;7.0;1229;1940
Monsieur Vincent;Drama, History, Biography;7.0;1115;1940
The Life and Adventures of Nicholas Nickleby;Drama;6.9;1076;1940
L'homme d'octobre;Thriller, Drama, Crime, Mystery;7.0;1606;1940
Huit heures de sursis;Thriller, Film-Noir, Drama, Crime;7.6;12217;1940
Quai des Orfèvres;Thriller, Drama, Crime, Mystery;7.7;6659;1940
Le silence de la mer;Romance, Drama, War;7.6;5960;1940
Je suis un fugitif;Thriller, Film-Noir, Drama, Crime;7.2;2092;1940
La vengeance du docteur Joyce;Drama, Crime;6.9;1522;1940
Anna Karénine;Romance, Drama;6.6;3077;1940
Au-delà des grilles;Romance, Drama;6.8;1061;1940
Quartet;Romance, Drama;7.3;1028;1940
Première désillusion;Thriller, Drama, Film-Noir, Mystery;7.6;10269;1940
Hamlet;Drama;7.5;19195;1940
Il pleut toujours le dimanche;Romance, Drama, Crime;7.1;2576;1940
Jour de fête;Comedy;7.2;9367;1940
Miranda;Comedy, Romance, Fantasy;6.8;1219;1940
Les parents terribles;Drama;6.9;1050;1940
Les chaussons rouges;Music, Romance, Drama;8.1;41510;1940
L'Aventure sans retour - L'Odyssée du capitaine Scott;Biography, Adventure, Action, Drama, History;7.0;2616;1940
Winslow contre le roi;Drama;7.6;1962;1940
Guet-apens;Thriller, Drama, Crime;6.1;1152;1940
Edward, mon fils;Romance, Drama;6.5;1549;1940
L'Obsédé;Thriller, Film-Noir, Crime;7.3;3088;1940
Noblesse oblige;Comedy, Drama, Crime;8.0;40795;1940
Manon;Thriller, Adventure, Drama, Crime;6.8;1267;1940
Orphée;Fantasy, Romance, Drama;7.8;13987;1950
Les amants passionnés;Romance, Drama;7.2;3301;1940
Passeport pour Pimlico;Comedy;7.1;5604;1940
La Reine des cartes;Fantasy, Drama, Horror;7.1;2581;1940
Le livre noir;Romance, Adventure, Drama, History;6.9;2252;1940
La Mort apprivoisée;Romance, Thriller, Drama, War;7.1;3532;1940
Le Troisième Homme;Thriller, Drama, Film-Noir, Mystery;8.1;189719;1940
Whisky à gogo;Comedy, Crime;7.1;6999;1940
