tconst;frenchTitle;genres;averageRating;numVotes;actor1;actor2;actor3;decade
tt0013140;Folies de femmes;Thriller, Drama;7.0;4229;Rudolph Christians;Miss DuPont;Maude George;1920
tt0013201;Le talisman de Grand-mère;Comedy, Family;7.0;2158;Harold Lloyd;Mildred Davis;Anna Townsend;1920
tt0013556;Robin des Bois;Adventure, Drama, Action, Family, Romance;7.0;2585;Douglas Fairbanks;Wallace Beery;Sam De Grasse;1920
tt0013571;Salomé;Drama, Fantasy, Horror, Biography, History;6.6;1287;Alla Nazimova;Nigel De Brulier;Mitchell Lewis;1920
tt0013750;Sur les marches d'un trône;Drama, Romance;6.5;1155;Marion Davies;Lyn Harding;William Norris;1920
tt0013933;Coeur fidèle;Drama, Romance;7.4;1543;Léon Mathot;Gina Manès;Edmond Van Daële;1920
tt0014029;The Extra Girl;Comedy, Romance, Crime;6.6;1239;Mabel Normand;Ralph Graves;George Nichols;1920
tt0014142;Le Bossu de Notre-Dame;Drama, Horror, Romance;7.2;6457;Lon Chaney;Patsy Ruth Miller;Norman Kerry;1920
tt0014205;Little Old New York;Comedy, Romance;6.3;1140;Marion Davies;Harrison Ford;Courtenay Foote;1920
tt0014341;Les lois de l'hospitalité;Thriller, Comedy, Romance;7.7;13084;Buster Keaton;Natalie Talmadge;Joe Keaton;1920
tt0014358;Le pélerin;Western, Comedy;7.2;5939;Charles Chaplin;Edna Purviance;Syd Chaplin;1920
tt0014417;La rose du rail;Drama;7.5;2686;Gabriel de Gravone;Pierre Magnier;Georges Térof;1920
tt0014429;Monte là-dessus!;Thriller, Comedy, Action, Romance;8.1;24008;Harold Lloyd;Mildred Davis;Bill Strother;1920
tt0014497;Âmes à vendre;Comedy, Drama, Romance;7.0;1163;Eleanor Boardman;Mae Busch;Barbara La Marr;1920
tt0014532;Les dix commandements;History, Drama, Biography;6.8;2835;Theodore Roberts;Charles de Rochefort;Estelle Taylor;1920
tt0014538;Les trois âges;Comedy, Drama;7.0;5538;Buster Keaton;Margaret Leahy;Wallace Beery;1920
tt0014611;Faut pas s'en faire;Comedy, Adventure, Family, Romance;7.3;2154;Harold Lloyd;Jobyna Ralston;John Aasen;1920
tt0014624;L'opinion publique;Drama, Romance;6.9;6583;Edna Purviance;Clarence Geldert;Carl Miller;1920
tt0014945;Ça t'la coupe!;Comedy, Action, Romance;7.7;3827;Harold Lloyd;Jobyna Ralston;Richard Daniels;1920
tt0014972;Larmes de clown;Thriller, Drama, Horror, Romance;7.7;4615;Lon Chaney;Norma Shearer;John Gilbert;1920
tt0015002;Une riche famille;Comedy;7.1;1675;Harold Lloyd;Jobyna Ralston;Josephine Crowell;1920
tt0015014;L'inhumaine;Mystery, Drama, ScienceFiction, Romance;7.2;1135;Jaque Catelain;Léonid Walter de Malte;Philippe Hériat;1920
tt0015016;Le Cheval de fer;Western, Romance, Drama, History;7.2;2640;George O'Brien;Madge Bellamy;Charles Edward Bull;1920
tt0015116;Tricheuse;Comedy, Drama;6.7;1181;Gloria Swanson;Tom Moore;Lilyan Tashman;1920
tt0015119;Comédiennes;Comedy, Romance;7.0;1590;Florence Vidor;Monte Blue;Marie Prevost;1920
tt0015163;La croisière du navigator;Comedy, Adventure, Action, Romance;7.5;11652;Buster Keaton;Kathryn McGuire;Frederick Vroom;1920
tt0015214;Le Rayon diabolique;Comedy, Sci-Fi, ScienceFiction;7.1;2054;Charles Martinelli;Louis Pré Fils;Albert Préjean;1920
tt0015224;Peter Pan;Adventure, Family, Fantasy;7.1;1399;Betty Bronson;Ernest Torrence;George Ali;1920
tt0015324;Sherlock Junior;Mystery, Comedy, Action, Romance;8.2;62222;Buster Keaton;Kathryn McGuire;Joe Keaton;1920
tt0015400;Le voleur de Bagdad;Adventure, Family, Romance, Fantasy;7.7;7366;Douglas Fairbanks;Julanne Johnston;Snitz Edwards;1920
tt0015624;La grande parade;Drama, Romance, War;7.9;7600;John Gilbert;Renée Adorée;Hobart Bosworth;1920
tt0015634;Corps et âme;Thriller, Drama, Crime;6.2;1263;Paul Robeson;Marshall Rogers;Lawrence Chenault;1920
tt0015772;L'aigle noir;Adventure, Drama, Action, Comedy, Romance;6.6;2405;Rudolph Valentino;Vilma Bánky;Louise Dresser;1920
tt0015841;Vive le sport!;Comedy, Family, Romance;7.5;6347;Harold Lloyd;Jobyna Ralston;Brooks Benedict;1920
tt0015863;Ma vache et moi;Western, Comedy;7.1;5319;Buster Keaton;Howard Truesdale;Kathleen Myers;1920
tt0015864;La Ruée vers l'or;Comedy, Drama, Adventure;8.1;124145;Charles Chaplin;Mack Swain;Tom Murray;1920
tt0015881;Les rapaces;Western, Thriller, Drama, Crime;8.0;11245;Gibson Gowland;Zasu Pitts;Jean Hersholt;1920
tt0016004;L'éventail de Lady Windermere;Comedy;7.2;1464;Irene Rich;May McAvoy;Bert Lytell;1920
tt0016028;La petite Annie;Comedy, Drama;6.8;1099;Mary Pickford;William Haines;Walter James;1920
tt0016029;Le petit colonel;Comedy, Music, Family, Musical;7.0;1984;Shirley Temple;Lionel Barrymore;Evelyn Venable;1930
tt0016039;Le Monde perdu;Horror, Drama, Adventure, Fantasy;7.0;6194;Wallace Beery;Bessie Love;Lloyd Hughes;1920
tt0016104;La veuve joyeuse;Drama, Romance;7.2;2683;Mae Murray;John Gilbert;Roy D'Arcy;1920
tt0016123;Le Docteur X;Mystery, Comedy, Horror, ScienceFiction;6.2;1446;Lon Chaney;Gertrude Olmstead;Hallam Cooley;1920
tt0016220;Le Fantôme de l'opéra;Music, Drama, Horror;7.5;21214;Lon Chaney;Mary Philbin;Norman Kerry;1920
tt0016332;Fiancées en folie;Comedy, Romance;7.8;12427;Buster Keaton;Ruth Dwyer;T. Roy Barnes;1920
tt0016394;Vedette;Comedy, Romance;6.9;1143;Gloria Swanson;Lawrence Gray;Gertrude Astor;1920
tt0016473;Le club des 3;Romance, Drama, Crime;7.1;2407;Lon Chaney;Mae Busch;Matt Moore;1920
tt0016627;Bardelys le magnifique;Drama, Action, Romance;7.1;1368;John Gilbert;Eleanor Boardman;Roy D'Arcy;1920
tt0016630;Le Dernier Round;Comedy, Sport, Romance;7.0;4199;Buster Keaton;Snitz Edwards;Sally O'Neil;1920
tt0016641;Ben-Hur;Drama, Adventure, Action, Romance;7.8;8185;Ramon Novarro;Francis X. Bushman;May McAvoy;1920
tt0016654;Le pirate noir;Drama, Adventure, Action;7.0;2264;Douglas Fairbanks;Billie Dove;Tempe Pigott;1920
tt0016669;La Bohème;Drama, Romance;7.2;1738;Lillian Gish;John Gilbert;Renée Adorée;1920
tt0016690;Tom, champion du Stade;Drama, Action, Romance;6.2;1554;William Haines;Jack Pickford;Mary Brian;1920
tt0016804;Don Juan;Adventure, Romance;7.0;1005;Jane Winton;John Roche;Warner Oland;1920
tt0016822;Si tu vois ma nièce;Comedy, Romance;6.9;1126;Colleen Moore;Lloyd Hughes;Vera Lewis;1920
tt0016884;La chair et le diable;Drama, Romance;7.6;4808;John Gilbert;Greta Garbo;Lars Hanson;1920
tt0016895;Pour l'amour du ciel;Comedy, Action, Romance;7.5;2061;Harold Lloyd;Jobyna Ralston;Noah Young;1920
tt0017075;Les cheveux d'or;Mystery, Thriller, Drama, Crime;7.3;14324;June Tripp;Ivor Novello;Marie Ault;1920
tt0017196;Nana;Drama, Romance;6.6;1013;Catherine Hessling;Pierre Lestringuez;Jacqueline Forzane;1920
tt0017350;La lettre écarlate;Drama;7.6;2078;Lillian Gish;Lars Hanson;Henry B. Walthall;1920
tt0017416;L'amant éternel;Drama, Adventure, Action, Romance;6.6;2203;Rudolph Valentino;Vilma Bánky;George Fawcett;1920
tt0017423;Les moineaux;Drama;7.3;1598;Mary Pickford;Roy Stewart;Mary Louise Miller;1920
tt0017437;L'athlète incomplet;Comedy, Adventure, Romance;6.6;1025;Harry Langdon;Priscilla Bonner;Gertrude Astor;1920
tt0017449;La tentatrice;Drama, Romance;6.9;1411;Greta Garbo;Antonio Moreno;Marc McDermott;1920
tt0017463;Trois sublimes canailles;Western, Drama, Romance;7.5;1612;George O'Brien;Olive Borden;Lou Tellegen;1920
tt0017534;West Point;Sport, Drama, Romance;6.6;2010;William Haines;Joan Crawford;William Bakewell;1920
tt0017567;La conquête de Barbara Worth;Western, Drama, Romance;6.9;1016;Ronald Colman;Vilma Bánky;Gary Cooper;1920
tt0017739;La volonté du mort;Mystery, Comedy, Horror;7.0;3625;Laura La Plante;Creighton Hale;Forrest Stanley;1920
tt0017765;Collge;Comedy, Drama, Sport, Romance;6.9;5695;Buster Keaton;Anne Cornwall;Flora Bramley;1920
tt0017825;C'est la vie;Thriller, Drama, Adventure;6.0;3307;Ivor Novello;Ben Webster;Norman McKinnel;1920
tt0017925;Le Mécano de la 'Général';Comedy, Adventure, Action, War;8.1;102903;Buster Keaton;Marion Mack;Glen Cavender;1920
tt0017938;La Glace à trois faces;Drama, Romance;6.9;1003;Jeanne Helbling;Suzy Pierson;Olga Day;1920
tt0018033;Le coup de foudre;Comedy, Drama, Romance;7.2;3818;Clara Bow;Antonio Moreno;William Austin;1920
tt0018037;Le chanteur de jazz;Music, Drama, Musical;6.4;11541;Al Jolson;May McAvoy;Warner Oland;1920
tt0018051;Le petit frère;Western, Drama, Action, Comedy, Family;7.6;5058;Harold Lloyd;Jobyna Ralston;Walter James;1920
tt0018054;Le roi des rois;History, Drama, Family, Biography;7.4;2554;H.B. Warner;Dorothy Cumming;Ernest Torrence;1920
tt0018097;Londres après minuit;Mystery, Thriller, Drama, Horror;6.7;1528;Lon Chaney;Marceline Day;Henry B. Walthall;1920
tt0018107;Anna Karenine;Drama, Romance;6.8;1262;John Gilbert;Greta Garbo;George Fawcett;1920
tt0018192;Napoléon;History, Drama, Biography, War;8.2;9401;Albert Dieudonné;Nicolas Roudenko;Edmond Van Daële;1920
tt0018311;The Red Mill;Comedy, Romance;6.8;1553;Marion Davies;Owen Moore;Louise Fazenda;1920
tt0018328;L'arène;Sport, Drama, Romance;6.1;4145;Carl Brisson;Lillian Hall-Davis;Ian Hunter;1920
tt0018379;L'Heure suprême !;Drama, Romance;7.5;4444;Janet Gaynor;Charles Farrell;Ben Bard;1920
tt0018440;Le temps des cerises;Comedy, Romance;6.4;1114;William Haines;Joan Crawford;George K. Arthur;1920
tt0018451;Le prince étudiant;Drama, Romance;7.5;1755;Ramon Novarro;Norma Shearer;Jean Hersholt;1920
tt0018455;L'aurore;Drama, Romance;8.1;55474;George O'Brien;Janet Gaynor;Margaret Livingston;1920
tt0018471;Marine d'abord!;Comedy, Drama, Action, Romance;7.1;1693;Lon Chaney;William Haines;Eleanor Boardman;1920
tt0018515;Frères d'armes;Comedy, Adventure, Romance;6.6;1218;William Boyd;Mary Astor;Louis Wolheim;1920
tt0018526;Les nuits de Chicago;Romance, Drama, Film-Noir, Crime;7.5;3702;George Bancroft;Clive Brook;Evelyn Brent;1920
tt0018528;L'inconnu;Thriller, Drama, Horror, Romance;7.7;9843;Lon Chaney;Norman Kerry;Joan Crawford;1920
tt0018578;Les ailes;Drama, Action, Romance, War;7.5;15457;Clara Bow;Charles 'Buddy' Rogers;Richard Arlen;1920
tt0018618;Un soir à Singapour;Romance, Drama, Adventure, Crime;6.2;1232;Ramon Novarro;Joan Crawford;Ernest Torrence;1920
tt0018684;Les mendiants de la vie;Drama, Adventure, Crime;7.4;1436;Wallace Beery;Richard Arlen;Louise Brooks;1920
tt0018742;L'opérateur;Comedy, Drama, Family, Romance;8.0;13912;Buster Keaton;Marceline Day;Harold Goodwin;1920
tt0018770;La chute de la maison Usher;Drama, Horror, Fantasy;7.2;4818;Jean Debucourt;Marguerite Gance;Charles Lamy;1920
tt0018773;Le Cirque;Comedy, Family, Romance;8.1;37442;Charles Chaplin;Merna Kennedy;Al Ernest Garcia;1920
tt0018806;La foule;Drama, Romance;8.0;9683;Eleanor Boardman;James Murray;Bert Roach;1920
