tconst,primaryTitle,title,frenchTitle,startYear,genres,production_countries,runtimeMinutes,revenue,tagline,overview,id,averageRating,numVotes,actor1,actor2,actor3
tt0014538,Three Ages,Three Ages,Les trois âges,1923,"Drama, Comedy",US,63,0.0,A cyclone of laughs and thrills,"The rituals of courtship, romantic rivalry and love play out three times as a man vies with a villain for the girl. In the Stone Age, the rivalry is set off by dinosaurs, a turtle used as a ouija board, and a round of golf with stones. In ancient Rome, the men display their brawn through a chariot race, using dogs instead of horses. In contemporary times, the man finds himself overcome by modernity, including a very fragile car.",32628,7.0,5542,Buster Keaton,Margaret Leahy,Wallace Beery
tt0014611,Why Worry?,Why Worry?,Faut pas s'en faire,1923,"Adventure, Romance, Comedy, Family",US,63,0.0,"Come and See the Enormous Giant, 8ft. 9in. high, who helps Harold Quell a Revolution in Six reels of the cleverest and funniest humor imaginable.",A hypochondriac vacations in the tropics for the fresh air - and finds himself in the middle of a revolution instead.,41348,7.3,2154,Harold Lloyd,Jobyna Ralston,John Aasen
tt0014945,Girl Shy,Girl Shy,Ça t'la coupe!,1924,"Comedy, Action, Romance",US,87,1550000.0,,"Harold Meadows is a shy, stuttering bachelor working in a tailor shop, who is writing a guidebook, The Secret of Making Love, for other bashful young men. Fate has him meet rich girl Mary, and they fall in love. But she is about to wed an already married man, so our hero embarks upon a hair-raising daredevil ride to prevent the wedding.",40574,7.7,3826,Harold Lloyd,Jobyna Ralston,Richard Daniels
tt0014972,He Who Gets Slapped,He Who Gets Slapped,Larmes de clown,1924,"Drama, Horror, Thriller, Romance",US,95,881000.0,,"Story of an inventor who, suffering betrayal in life, makes a career of it by becoming a clown whose act consists of getting slapped by all the other clowns. He falls in love with another circus performer, and those who betrayed him enter his life yet again.",27511,7.7,4618,Lon Chaney,Norma Shearer,John Gilbert
tt0015016,The Iron Horse,The Iron Horse,Le Cheval de fer,1924,"History, Drama, Western, Romance",US,150,0.0,THE WEDDING OF THE RAILS! ONE OF AMERICA'S MOST THRILLING HISTORICAL DEEDS--THE DRIVING OF THE LAST SPIKE FOR THE TRANSCONTINENTAL RAILROAD,"Brandon, a surveyor, dreams of building a railway to the west. He sets off with his son, Davy, to survey a route. They discover a new pass which will shave 200 miles off the expected distance, but they are set upon by a party of Cheyenne. One of them, a white renegade with only two fingers on his right hand, kills Brandon and scalps him. Davy is all alone now.",71068,7.2,2647,George O'Brien,Madge Bellamy,Charles Edward Bull
tt0015119,The Marriage Circle,The Marriage Circle,Comédiennes,1924,"Comedy, Romance",US,85,0.0,The oft told story.  His Best Friend and His Wife and ---,"Professor Stock and his wife Mizzi are uhappily married. The professor, suspicious of his wife, hires a detective to spy on her in hopes of obtaining a divorce. Mizzi sets her sights on seducing Dr. Franz Braun, the new husband of her good friend Charlotte. Dr. Braun's colleague, Dr. Mueller, who has his eye on Charlotte, sees this as his opportunity. Through a misunderstanding, Charlotte thinks that her husband is interested in Miss Hofer, and asks Mizzi to keep him occupied... around and around the circle goes in Lubitsch's refined comedy of mistaken infidelity.",96713,7.0,1591,Florence Vidor,Monte Blue,Marie Prevost
tt0015400,The Thief of Bagdad,The Thief of Bagdad,Le voleur de Bagdad,1924,"Fantasy, Adventure, Romance, Family",US,155,1490419.0,"""Happiness Must Be Earned""",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,28963,7.7,7369,Douglas Fairbanks,Julanne Johnston,Snitz Edwards
tt0015624,The Big Parade,The Big Parade,La grande parade,1925,"Drama, War, Romance",US,151,20000000.0,The epic of the American doughboy!,"The story of an idle rich boy who joins the US Army's Rainbow Division and is sent to France to fight in World War I, becomes friends with two working class men, experiences the horrors of trench warfare, and finds love with a French girl.",3060,7.9,7601,John Gilbert,Renée Adorée,Hobart Bosworth
tt0015841,The Freshman,The Freshman,Vive le sport!,1925,"Comedy, Romance, Family",US,77,0.0,Harold kicks the fun winning Goal.,"Harold Lamb is so excited about going to college that he has been working to earn spending money, practicing college yells, and learning a special way of introducing himself that he saw in a movie. When he arrives at Tate University, he soon becomes the target of practical jokes and ridicule. With the help of his one real friend Peggy, he resolves to make every possible effort to become popular.",42359,7.5,6350,Harold Lloyd,Jobyna Ralston,Brooks Benedict
tt0015863,Go West,Go West,Ma vache et moi,1925,"Western, Comedy",US,69,0.0,Come with Buster out into the vast open spaces where men are men and cows are their only lady friends,With little luck at keeping a job in the city a New Yorker tries work in the country and eventually finds his way leading a herd of cattle to the West Coast.,33015,7.1,5319,Buster Keaton,Howard Truesdale,Kathleen Myers
